Codigo,Nombre,DRE,Sis Hidro,CUENCA,RIO,DPTO,PROV,DISTRITO,LONG,LAT,ALT,INICIO,ENT,Q
221902,CAMPANILLA,9,RIO MARANON,ALTO HUALLAGA,HUALLAGA,SAN MARTIN,M. CACERES,CAMPANILLA,76.68333333,7.433333333,390,1998,1SENAMHI,NIV
221824,CHAZUTA,9,RIO MARANON,HUALLAGA,HUALLAGA,SAN MARTIN,SAN MARTIN,CHAZUTA,76.18333333,6.583333333,200,2004,1SENAMHI,NIV
221801,CUMBAZA,9,RIO MARANON,MAYO,CUMBAZA,SAN MARTIN,SAN MARTIN,MORALES,76.38333333,6.466666667,285,1998,1SENAMHI,NIV
221808,DESAGUADERO LAGUNA SAUCE,9,RIO MARANON,ALTO HUALLAGA,SAUCE,SAN MARTIN,SAN MARTIN,SAUCE,76.25,6.716666667,615,1971,1SENAMHI,NIV
221807,LAGUNA SAUCE,9,RIO MARANON,ALTO HUALLAGA,SAUCE,SAN MARTIN,SAN MARTIN,SAUCE,76.25,6.716666667,618,1971,1SENAMHI,NIV
221823,PICOTA,9,RIO UCAYALI,ALTO HUALLAGA,AGUAYTIA,SAN MARTIN,PICOTA,VILLA PICOTA,76.36666667,6.883333333,220,1999,1SENAMHI,NIV
221804,REQUENA _ BIAVO,9,RIO MARANON,MAYO,BIAVO,SAN MARTIN,BELLAVISTA,ALTO BIAVO,76.5,7.266666667,290,1974,1SENAMHI,NIV
221815,SHAMBOYACU,9,RIO MARANON,ALTO HUALLAGA,PONAZA,SAN MARTIN,PICOTA,SHAMBOYACU,76.16666667,7,310,1996,1SENAMHI,NIV
221802,SHANAO,9,RIO MARANON,MAYO,MAYO,SAN MARTIN,LAMAS,SHANAO,76.6,6.433333333,300,1968,1SENAMHI,NIV
221817,HUASCAYACU,9,RIO MARANON,MAYO,MAYO,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,76.98333333,5.683333333,775,1997,CONVENIO,NIV
221813,HIGUERAS,10,RIO MARANON,ALTO HUALLAGA,HIGUERAS,HUANUCO,HUANUCO,HUANUCO,76.30972222,9.921111111,2020,1994,1SENAMHI,NIV
231202,PUENTE AGUAYTIA,10,RIO UCAYALI,AGUAYTIA,AGUAYTIA,UCAYALI,PADRE ABAD,PADRE ABAD,75.5,9.033333333,338,1994,1SENAMHI,NIV
221814,PUENTE TOCACHE,10,RIO MARANON,ALTO HUALLAGA,TOCACHE,SAN MARTIN,TOCACHE,TOCACHE,76.50777778,8.184444444,508,1994,1SENAMHI,NIV
